Accident,صدفة
Accuracy,دقة، ضبط
Adjoining,المقاطع المتوالية
Alpha Particle,جسيم ألفا
Ancient God,ﺁلهة قديمة
Angular Momentum,قوة الدفع الزاوي(الزخم)
Annihilation,فناء
Aphelion,أوج
Argon,أرغون
Asteroid,كويكب
AU,وحدة فلكية
Baryonic,أجسام نواتية
Beta Decay,انحلال بيتا
Beta Particle,جسيم بيتا
Big Bang,انفجار كبير
Binary Star System,نظام النجم المزدوج
Black Hole,ثقب أسود
Blue shifted,انزياح أزرق
"Blurred, Smeared",تخربش (متلطخ، مغبش)
CERN,المجلس الأوروبي للبحث العلمي النووي
Chain Reaction,سلسلة تفاعلات
Collapse,انهيار
Comet,مذنب
Comet Orbit,مدار مذنب
Conservation of Energy,بقاء الطاقة
Consistency,اتساق، متسق (غير متناقض)
Cosmic Censorship,رقابة كونية
Countable,عدود
Curved Space,فضاء محدب
Dark Matter,مادة مظلمة
Decidability,بتية
Definition,تعريف
Description,توصيفات روسيل
Disposition,استعداد؛ مزاج
Distribution,توزيع
Dragging of Inertial,سحب داخلي
Eccentric,لامركزية
Electro Magnetic Field,مجال كهرومغناطيسي
Ellipse,إهليليجي (قطع ناقص)
Energy Collapsing,انهيار طاقة
Enlightenment,تنوير (عصر الــ)
Estimate,تقدير (إحصائي)
"European Organization of Nuclear
Research",المنظمة الأوروبية للأبحاث النووية
Event,حدث
Event-Horizon,أفق الحدث
Expectation,رجاء (الرجاء الرياضي)
Experience,خبرة، تجربة، اختبار
Experiment,تجربة حاسمة
Extrapolation,استكمال
Flat Rotation Curves,دوارنمحوريلمنحنيات منبسطة
Fluctuation,تأرجح
Frame,إطار
Fusion,اندماج/ انصهار
Galaxy Gravitational Field,مجال جاذبية للمجرات
Geometrical Shape,شكل هندسي
Giant Hydrogen Cloud Orbit,مدار غيمة هيدروجينية عملاقة
Gravitation,تثاقل
Heating Element,عناصر تسخين
Implication,تعريف ضمني
Instantiation,حجة فرعية، قضية ﺁنية، ضرب الأمثال
Intuition,حدس
Irrelevant,عديم الصلة
Justification,تبرير (المنطوقات)
Lattice,شباك
Levels of Universality,عامية (مستويات)
Light Year,سنة ضوئية
Likelihood,أرجحية (مصداقية)
Local Power,قوة محلية
Model,نموذج
Nature’s Talent,ذكاء الطبيعة
Necessity,الضرورة المنطقية
Neutron Star,نجم نيوتروني
Orbiting Star,نجم مداري
Oscillation,تذبذب
Overlapping,مقاطع متراكبة
Oxidation,تأكسد
Paradox,مفارقة
Perceptual,إدراك حسي
Planetary-Nebulae,سديم كوكبي
Point of no Return,نقطة لاعودة
Positive Charge,شحنة موجبة
Potential Differences,اختلافات فعلية (كامنة)
Process,سيرورة
Quantum Mechanic,ميكانيكا الكم
Radioactivity,نشاط إشعاعي
Radius,إشعاعات (نصف قطر)
Random,طابع عشوائي
Rational,اعتقاد عاقل
Reality,واقعية
Red Giant,عملاق أحمر
Red shifted,انزياح أحمر
Red Spot,بقعة حمارء
Refute,دحض، دحوض
Relativistic Length Contraction,تقلص طول نسبي
Relevant,وثيق الصلة
Rule of Absolution,مبدأ الحل من التبعات
Rust,صدأ
Sample,عينة
Scattering,تبعثر
Sequence,متتالية
Singularity,موضع تفرد
SNOB: Society for Natural Objects,جمعية الأجسام الطبيعية
Solar Mass,كتلة شمسية
Solar system,نظام شمسي
State,حالة
Statement,قضية
Statement,منطوق
String Theory,نظرية الأوتار
Subjective,ذاتي
Superconducting Magnets,موصل مغناطيسي فائق
Supernova,متجدد أعظم
Supernova Explosion,انفجار نجم متجدد أعظم
Superpartner,شريك فائق
Superposition,توضيع
Supersymetry,تناظر فائق
Symmetry,تماثل/ تناظر
Tidal Force,قوى مدية
Transformations,تحولات
Trapped Surface,سطح شرك
Truth,حقيقة، صحة
Ultraviolet Rays,أشعة فوق بنفسجية
Uncertainty,علاقات عدم التحديد
Uniqueness,أحدية؛ أحدى
Universal,كلية
Verification,تأكد من الصحة (تحقق)
Volcano,بركان
White Dwarf,نجم أبيض قزم
Wormhole,جحر الدودة
X-Ray Radiation,أشعة سينية
